Sr No,Date,Startup,vertical,SubVertical,City,Investor,Round,Amount,Remarks,Investors Name 
2112,2015-12-01,Patel Logistics,Transportation & Logistics Platform,,Mumbai,Frontline Strategy,Private Equity,46.2,,Frontline Strategy
2113,2015-12-01,Wigzo,Enterprise Marketing Automation platform,,New Delhi,"Aarin Capital Partners, TV Mohandas Pai",Seed Funding,4.125,Pre-Series A,"Aarin Capital Partners, TV Mohandas Pai"
2115,2015-12-01,Godof Hospitals,Digital Healthcare,,New Delhi,Pankaj Gupta,Seed Funding,16.5,,Pankaj Gupta
2116,2015-12-02,RoomsTonite,Last Minute Hotel Booking App,,Bangalore,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna",Seed Funding,12.375,,"Lashit Sanghvi, Nikhil Vora, Venkat Vardhan,Mohammed Bin Abdul Rehman Al Khalifa,\\xc2\\xa0 Ralph Berezan, Vissal Mathew,\\xc2\\xa0 Balamurali Krishna"
2119,2015-12-03,EasyKhaana,Online Food ordering & Delivery platform,,New Delhi,Undisclosed investors,Seed Funding,0.825,,Undisclosed investors
2120,2015-12-03,Shuttl,App based Bus Pooling Services,,Gurgaon,"Sequoia Capital, Times Internet Ltd & One more Fund",Private Equity,165.0,Series B,"Sequoia Capital, Times Internet Ltd & One more Fund"
2123,2015-12-04,Applop,On Demand Mobile app developer,,Kolkata,GHV Accelerator,Seed Funding,0.825,,GHV Accelerator
2124,2015-12-04,CaRPM,Car Maintenance & Management mobile app,,Gurgaon,GHV Accelerator,Seed Funding,0.825,,GHV Accelerator
2125,2015-12-04,NDTV Wedding portal,Online Wedding Marketplace,,New Delhi,CerraCap,Private Equity,165.0,Series A,CerraCap
2128,2015-12-07,Customfurnish,Custom Made furniture e-tailer,,Hyderabad,Agnus Capital,Private Equity,37.125,Series A,Agnus Capital
2129,2015-12-07,Faasos,QSR Chain,,Pune,"ru-Net, Sequoia Capital,\\xc2\\xa0 Lightbox Ventures",Private Equity,247.5,Series C,"ru-Net, Sequoia Capital,\\xc2\\xa0 Lightbox Ventures"
2131,2015-12-07,Leaf Wearables,Smart Safety Wearable Devices,,New Delhi,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",Seed Funding,2.0625,,"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani"
2132,2015-12-07,Coolshare,Cab Sharing service Mobile app,,Mumbai,Gopal Aggarwal,Seed Funding,0.825,,Gopal Aggarwal
2135,2015-12-08,Yumist,Home Cooked Food Order & Delivery platform,,Gurgaon,"Unilazer Ventures, Orios Venture Partners, Steven Lurie",Private Equity,16.5,Series A,"Unilazer Ventures, Orios Venture Partners, Steven Lurie"
2136,2015-12-09,Jigsaw Academy,Online School for Analytics learning,,Bangalore,Manipal Global Education Services,Private Equity,24.75,Series A,Manipal Global Education Services
2138,2015-12-09,Voxweb,Picture creation & Social mobile app,,Mumbai,Undisclosed Investor,Seed Funding,2.8875,,Undisclosed Investor
2139,2015-12-09,Aye Finance,Nonbanking finance company,,New Delhi,"SAIF Partners, Accion",Private Equity,24.75,Series B,"SAIF Partners, Accion"
2141,2015-12-10,BlackBuck,Online Freight Services Aggregator,,Bangalore,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart",Private Equity,206.25,Series B,"Tiger Global Management, Yuri Milner, Apoletto, Accel Partners, Flipkart"
2142,2015-12-10,HomeStudio,Online Branded Furniture etailer,,Bangalore,Bren Corporation,Private Equity,41.25,Series A,Bren Corporation
2143,2015-12-10,PropheSee,Digital Analytics Platform,,New Delhi,"Indian Angel Network, Stanford Angels, Entrepreneurs India",Seed Funding,4.125,,"Indian Angel Network, Stanford Angels, Entrepreneurs India"
2144,2015-12-10,i2e1,Internet Network Infrastructure Services,,New Delhi,GrowX Ventures,Seed Funding,4.125,,GrowX Ventures
2145,2015-12-10,Holisol Logistics,Supply Chain & Logistics Solutions,,New Delhi,CLSA Capital Partners ARIA IV Funds,Private Equity,82.5,,CLSA Capital Partners ARIA IV Funds
2147,2015-12-10,Paynear,Mobile Point of Sale solutions,,Hyderabad,Mitesh Majithia,Private Equity,20.625,Pre-Series A,Mitesh Majithia
2148,2015-12-10,Chillr,Peer-to-Peer Money Transfer & Recharge App,,Mumbai,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other",Private Equity,577.5,Series A,"Sequoia Capital, Blume Ventures, Uniqorn Ventures and other"
2149,2015-12-11,EureQa,Test Automation SAAS platform,,Hyderabad/USA,"Sashi Reddi, Gabriel Investments",Seed Funding,4.95,,"Sashi Reddi, Gabriel Investments"
2153,2015-12-11,OnlineRTI,Online RTI application services,,Bangalore,"LetsVenture, Mohandas Pai",Seed Funding,1.2375,,"LetsVenture, Mohandas Pai"
2155,2015-12-11,Weddingz.in,Wedding Venues & Vendors Marketplace,,Mumbai,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",Seed Funding,8.25,,"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar"
2157,2015-12-14,Capricoast,Modular Furnishings Marketplace,,Bangalore,"Accel Partners India, RB Investments",Private Equity,28.875,Series A,"Accel Partners India, RB Investments"
2159,2015-12-14,Cabsguru,Cab search Comparison & Booking platform,,New Delhi,Prashanth Ranganathan,Seed Funding,1.65,,Prashanth Ranganathan
2160,2015-12-14,Whoop,Performance Optimization Platform for athletes,,Boston,Infosys,Private Equity,24.75,Series A,Infosys
2163,2015-12-15,Streamoid,visual search and discovery platform,,Bangalore / Palo Alto,Undisclosed,Seed Funding,8.25,,Undisclosed
2164,2015-12-16,Housejoy,Home services marketplace,,Bangalore,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners",Private Equity,185.625,Series B,"Amazon, Vertex Ventures, Qualcomm, Ru-Net Technology Partners, Matrix Partners"
2165,2015-12-16,Bluebirch,End to End reverse logistics Solution platform,,Bangalore,"Chicago Capital Ventures, Sanjay Mehta, Others",Seed Funding,16.5,,"Chicago Capital Ventures, Sanjay Mehta, Others"
2166,2015-12-16,MeraDoctor,Virtual Health consultation app,,Mumbai,Unilazer,Private Equity,9.9,Pre-Series A,Unilazer
2168,2015-12-17,Rivigo,Logistics Services Provider,,Gurgaon,SAIF Partners and others,Private Equity,247.5,Series B (includes Debt financing),SAIF Partners and others
2169,2015-12-17,Springboard,Data Science & UX design Learning platform,,Bangalore,"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital",Seed Funding,14.025,,"Allen Blue, John Katzman, Naveen Tewari, Kartik Hosanagar, Kashyap Deorah, 500 Startups, Blue Fog Capital"
2171,2015-12-18,Ampere Vehicles,Electric Bike Manufacturers,,Coimbatore,Kris Gopalakrishnan & Others,Seed Funding,9.9,,Kris Gopalakrishnan & Others
2174,2015-12-18,CBREX,International Hiring Platform,,Mumbai / NY,"Prahlad Rao, Sundara Rajan, Vikram Chachra",Seed Funding,1.65,,"Prahlad Rao, Sundara Rajan, Vikram Chachra"
2175,2015-12-21,TruckMandi,Logistics Service Provider Marketplace,,New Delhi,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors",Private Equity,16.5,Pre-Series A,"Ritesh Dwivedy, Ramakant Sharma, Mount Nathan Advisors"
2176,2015-12-21,Peppertap,Hyperlocal\\xc2\\xa0 Grocery Delivery Service,,Gurgaon,Innoven Capital,Private Equity,33.0,part of $40M Series B round,Innoven Capital
2177,2015-12-21,KOOH Sports,Sports Education Platform,,Mumbai,"TCS, HDFC, Faering Capital, Elevate Sports",Private Equity,16.5,Series A,"TCS, HDFC, Faering Capital, Elevate Sports"
2181,2015-12-22,LatestOne,Mobile accessories online store,,Hyderabad,Palred Technologies Ltd,Private Equity,24.75,Additional investment from parent company,Palred Technologies Ltd
2183,2015-12-22,Arya.ai,Artificial Intelligence platform,,Mumbai,"YourNest Angel Fund, Venture Nursery",Private Equity,6.1875,Series A,"YourNest Angel Fund, Venture Nursery"
2184,2015-12-22,Doctor Insta,Medical Consultation & Doctor appointment booking platform,,Gurgaon,"Rishi Parti, BrahmaX Ventures",Private Equity,4.125,pre-Series A,"Rishi Parti, BrahmaX Ventures"
2185,2015-12-22,MobieFit,Mobile Fitness App,,Goa,Medi Assist,Private Equity,8.25,Strategic Investment,Medi Assist
2187,2015-12-23,Mech Mocha,Mobile Game development & Design platform,,Bangalore,"Blume Ventures, Flipkart",Seed Funding,8.25,,"Blume Ventures, Flipkart"
2188,2015-12-23,Shotang.com,B2B eCommerce Marketplace,,Bangalore,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund",Private Equity,41.25,Series A,"Exfinity Venture Partners, Unitus Impact Livelihoods Fund"
2190,2015-12-24,Black White Orange,B2B Merchandize platform,,Mumbai,Collaborative Licensing Ventures LLP,Seed Funding,2.49975,,Collaborative Licensing Ventures LLP
2192,2015-12-24,Canvera,Photographer Online search & booking platform,,Bangalore,Info Edge (India) Ltd,Private Equity,18.15,,Info Edge (India) Ltd
2193,2015-12-28,Town Essentials,Grocery Delivery platform,,Bangalore,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",Seed Funding,8.25,,"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil"
2194,2015-12-28,Bumper,Mobile Car Servicing appointment app,,Bangalore,SAIF Partners,Seed Funding,4.125,,SAIF Partners
2195,2015-12-29,Hotify,New Curation Mobile App,,Bangalore,Mahavir Pratap Sharma,Seed Funding,1.2375,,Mahavir Pratap Sharma
2196,2015-12-29,MobiKwik,Mobile Wallet,,Gurgaon,"Sequoia Capital, Tree Line Asia, Innoven Capital",Private Equity,54.45,Additional Funding,"Sequoia Capital, Tree Line Asia, Innoven Capital"
2198,2015-11-02,Twigly,Online Food Ordering & Delivery platform,,Gurgaon,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",Seed Funding,1.65,,"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs"
2199,2015-11-02,CityFlo,Bus Aggregation and rental mobile app,,Mumbai,IDG Ventures,Seed Funding,6.1875,,IDG Ventures
2202,2015-11-03,Pokkt,Alternate Mobile Monetization platform,,Mumbai,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh",Private Equity,41.25,Series B,"Segnel Venture, Shinji Kimura, Sundar Chanrai, JAFCO Asia, SingTel\\xe2\\x80\\x99s Innov8, Jungle Ventures, K Ganesh"
2203,2015-11-03,oibanit,Online Food Ordering Marketplace,,Vadodara,"Varun Ahuja, Anubhav Verma",Seed Funding,1.2375,,"Varun Ahuja, Anubhav Verma"
2204,2015-11-03,Stuffed,Quick Service Restaurant & Online Delivery,,Mumbai,Riqueza Capital,Seed Funding,3.17625,Funding happened in Sept 2015,Riqueza Capital
2206,2015-11-03,Deyor Rooms,Budget Hotels Aggregator,,New Delhi,Dheeraj Jain & Others,Seed Funding,4.125,,Dheeraj Jain & Others
2207,2015-11-03,Bidgely,Efficient Energy Management platform,,USA/India,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures",Private Equity,136.95,Series B,"Constellation Technology Ventures (Exelon Corporation), E.ON, RWE, Khosla Ventures"
2208,2015-11-04,Shirsa Labs,Digital Intelligent learning platform,,Mumbai,ah! Ventures,Seed Funding,2.0625,,ah! Ventures
2210,2015-11-04,YourDOST,Online Counselling and psychological support platform,,Gwalior,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",Seed Funding,3.3,,"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan"
2211,2015-11-05,BookMyBai,Domestic Help Aggregation platform,,Mumbai,Vineel Nalla & Others,Seed Funding,1.2375,,Vineel Nalla & Others
2212,2015-11-05,MyIndianStay,Home Stay & room rentals platform,,Goa,Undisclosed investors,Seed Funding,1.65,,Undisclosed investors
2215,2015-11-06,Satvacart,Online Grocery platform,,Gurgaon,Undisclosed HNIs,Private Equity,14.85,Pre-Series A Bridge,Undisclosed HNIs
2216,2015-11-06,POPxo.com,Online content platform for women,,New Delhi,"IDG Ventures India, Kalaari Capital, 500 Startups",Private Equity,16.5,Series A,"IDG Ventures India, Kalaari Capital, 500 Startups"
2217,2015-11-06,SparesHub,Online Vehicle Spare Parts etailer,,Pune,"Hyderabad Angels, M&S Partners",Seed Funding,3.795,Pre-Series A,"Hyderabad Angels, M&S Partners"
2218,2015-11-06,Explara,Event Ticketing platform,,Pune,"Hyderabad Angels, Singapore Angel Network, Ness Wadia",Private Equity,4.0425,Pre-Series A,"Hyderabad Angels, Singapore Angel Network, Ness Wadia"
2220,2015-11-06,Yuvi Hospitality,Premium dining Lounges & restaurants,,Gurgaon,Chandralekha Construction Pvt. Ltd.,Private Equity,123.75,Series A,Chandralekha Construction Pvt. Ltd.
2221,2015-11-09,AppVirality,Mobile Growth Hacking\\nPlatform,,Hyderabad,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others",Seed Funding,4.125,Pre-Series A,"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,\\xc2\\xa0 Mohit Saxena, Internet Group, TNN Capital and others"
2222,2015-11-09,iStar Skill Development,Skill Training Startup,,Bangalore,"Michael & Susan Dell Foundation, Unitus Seed Fund",Private Equity,12.375,Series A,"Michael & Susan Dell Foundation, Unitus Seed Fund"
2223,2015-11-09,BigStylist.com,Beauty and Wellness Marketplace,,Mumbai,Info Edge,Private Equity,8.25,Pre-Series A,Info Edge
2224,2015-11-09,Zilingo,Marketplace App for Bangkok,,Bangalore/ Bangkok,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon",Private Equity,15.675,Series A,"Sequoia India, BEENEXT Ventures, Kunal Shah & Sandeep Tandon"
2225,2015-11-09,Didi,On-demand Maids Service Provider,,Mumbai,"Jozef Bardik, Leo Wang Sangeeth Ram",Seed Funding,1.2375,,"Jozef Bardik, Leo Wang Sangeeth Ram"
2226,2015-11-09,Skoov.com,eCommerce Product Search Engine,,Mumbai,undisclosed investor,Seed Funding,1.2375,,undisclosed investor
2227,2015-11-10,Chefs Basket,Ready to cook packaged Foods,,Mumbai,"SAIF Partners, Haresh Chawla",Private Equity,49.5,Series A,"SAIF Partners, Haresh Chawla"
2229,2015-11-11,Delight Foods,Branded Food products online sales,,Bangalore,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",Private Equity,4.95,Series A,"Lensbridge Capital, Mape Advisory Group, Fireside Ventures"
2231,2015-11-11,RenewBuy,Auto Insurance Online platform,,Gurgaon,Mount Nathan Advisors Pte Ltd,Seed Funding,4.125,,Mount Nathan Advisors Pte Ltd
2233,2015-11-12,Hitwicket,Cricket Management Mobile Game,,Hyderabad,Chennai Angels,Seed Funding,2.0625,,Chennai Angels
2235,2015-11-16,Cashkaro.com,Ecommerce Discount & Cashback coupons platform,,Gurgaon,Kalaari Capital,Private Equity,30.525,Series A,Kalaari Capital
2236,2015-11-16,Absentia,Virtual Reality Headset creator,,Bangalore,"Astarc Ventures, 50K Ventures & others",Seed Funding,1.485,,"Astarc Ventures, 50K Ventures & others"
2238,2015-11-16,TaskBucks,mobile-only tasks marketplace,,New Delhi,Times Internet,Private Equity,123.75,Strategic Investment,Times Internet
2239,2015-11-17,CraftsVilla,Women Ethnic Wear\\xc2\\xa0 Online Marketplace,,Mumbai,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto",Private Equity,280.5,Series C,"Sequoia India, Lightspeed Venture Partners, Nexus Venture Partners, Global Founders Capital, Apoletto"
2240,2015-11-17,Julia Computing,Numerical Computing & Data Science Platform,,Bangalore,Gordon and Betty Moore Foundation,Seed Funding,4.95,,Gordon and Betty Moore Foundation
2241,2015-11-17,StyleTag,Designer fashion Jewellery Marketplace,,Bangalore,Jitu Virwani,Seed Funding,61.875,,Jitu Virwani
2242,2015-11-17,Smytten,Online Products Discovery Platform,,Gurgaon,"Rimpal Chawla, Anuj Srivastava",Seed Funding,1.65,,"Rimpal Chawla, Anuj Srivastava"
2243,2015-11-17,BiBox,Kids Tool kit for Innovation platform,,Bangalore,Ravi Krishnamurthy,Seed Funding,4.3725,,Ravi Krishnamurthy
2244,2015-11-17,Convegenius,Mobile Learning Solutions,,Noida / Singapore,Enablers platform,Seed Funding,2.475,,Enablers platform
2245,2015-11-18,Ola,Car Aggregator & Retail Mobile App,,Bangalore,"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi",Private Equity,4125.0,Series F ( More Details Here),"Baillie Gifford, Falcon Edge Capital, Tiger Global, SoftBank Group, DST Global, Didi Kuaidi"
2246,2015-11-18,Goodbox,conversational commerce mobile app,,Bangalore,Nexus Venture Partners,Private Equity,20.625,Series A,Nexus Venture Partners
2247,2015-11-18,ScoopWhoop,Viral Content web Platform,,New Delhi,Kalaari Capital,Private Equity,33.0,Series A,Kalaari Capital
2252,2015-11-19,UrbanClap,Mobile Services Marketplace,,Gurgaon,"Bessemer Venture Partner, Accel, SAIF Partners",Private Equity,206.25,Series B,"Bessemer Venture Partner, Accel, SAIF Partners"
2253,2015-11-19,SenseGiz,Smartwatch Maker,,Belgaum,Karnataka Semiconductor Venture Capital firm,Seed Funding,4.125,,Karnataka Semiconductor Venture Capital firm
2255,2015-11-19,Fourseven,Online Jewellery etailer,,New Delhi,Indian Angel Network,Seed Funding,3.75375,,Indian Angel Network
2256,2015-11-20,MindTickle,Sales & Productivity Software,,Pune / US,New Enterprise Associates,Private Equity,103.125,Series A,New Enterprise Associates
2258,2015-11-20,Medinfi,Health-Tech platform,,Bangalore,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",Seed Funding,2.51625,,"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others"
2259,2015-11-20,OUWT,Nightlife Discovery Mobile App,,Mumbai,Undisclosed investors,Seed Funding,1.2375,,Undisclosed investors
2260,2015-11-20,HeyPillow,Online Real Estate Marketplace,,Bangalore,Hampton Capital,Private Equity,24.75,Series A,Hampton Capital
2262,2015-11-21,Caravan Craft,Indian Ethnic Crafts Etailer,,Bangalore,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran",Private Equity,9.9,Series A,"Unitus Seed Fund, Bijou Kurien, Narayan Ramachandran"
2263,2015-11-21,Talkoot,Social platform for traders and investors,,Bangalore,Undisclosed investors,Seed Funding,0.825,,Undisclosed investors
2264,2015-11-23,RentoMojo,"Online Furniture, Home Appliances Rental Platform",,Bangalore,"IDG Ventures India,\\xc2\\xa0 Accel Partners India",Private Equity,16.5,Series A,"IDG Ventures India,\\xc2\\xa0 Accel Partners India"
2265,2015-11-23,Medikoe,Healthcare Services Discovery platform,,Bangalore,Anil Menon,Seed Funding,0.825,,Anil Menon
2266,2015-11-24,Stylofie,Health and Beauty Services Marketplace,,Gurgaon,Swastika,Seed Funding,2.0625,,Swastika
2268,2015-11-24,Naaptol,Online and TV Shopping Marketplace,,Mumbai,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank",Private Equity,429.0,Late Stage,"Mitsui & Co., New Enterprise Associates, Canaan Partners, Silicon Valley Bank"
2270,2015-11-25,EarlySalary.com,Mobile App based Loan disbursement platform,,Mumbai,Ashok Agarwal,Seed Funding,12.375,,Ashok Agarwal
2271,2015-11-25,Tooler,On Demand Laundry Services App,,New Delhi,"Raghu Khanna, Sameer Gupta",Seed Funding,0.9075,,"Raghu Khanna, Sameer Gupta"
2272,2015-11-25,S Chand,Education Content Provider,,New Delhi,IFC Everstone Group,Private Equity,222.75,,IFC Everstone Group
2274,2015-11-26,GoQii,Fitness Tracking Management Solutions,,Mumbai,"New Enterprise Associates, Cheetah Mobile",Private Equity,110.55,Series B,"New Enterprise Associates, Cheetah Mobile"
2275,2015-11-26,Grofers,Hyper-local Grocery Delivery platform,,Gurgaon,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers",Private Equity,990.0,Late Stage,"Softbank, Tiger Global, Sequoia Capital, Apoletto Managers"
2276,2015-11-26,Pluss,Hyperlocal healthcare product Delivery Service provider,,Gurgaon,"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",Private Equity,8.25,Pre-Series A,"IDG Ventures, M & S partners, Powerhouse Ventures (USA)."
2284,2015-11-30,Baxi,Two-Wheeler Taxi Service,,Gurgaon,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia,",Seed Funding,11.9625,,"Manish Kheterpal, Alok Mittal,\\xc2\\xa0 Puneet Dalmia,"
2285,2015-11-30,Superhero Brands,character merchandize sales platform,,Mumbai,DSG Consumer Partners,Seed Funding,4.455,,DSG Consumer Partners
2287,2015-11-30,QikPod,Ecommerce Delivery locker services,,Bangalore,"Flipkart, Accel Partners, Delhivery, Foxconn",Private Equity,74.25,Series A,"Flipkart, Accel Partners, Delhivery, Foxconn"
2293,2015-10-01,Muvizz,Movie-on-demand platform,,Singapore,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",Seed Funding,2.8875,,"Ashish Todi, Abhinav Patodia, Kumar Shwetabh"
2296,2015-10-02,Shopalyst,Product discovery & recommendation platform,,Bangalore,Kalaari Capital,Private Equity,16.5,Series A,Kalaari Capital
2297,2015-10-03,Chillr,Mobile Payments App,,Mumbai,Sequoia Capital,Private Equity,49.5,Series A,Sequoia Capital
2298,2015-10-05,Nykaa,Beauty & Wellness Products e-tailer,,Mumbai,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos",Private Equity,78.375,Series B,"Harsh Mariwala, Atul Nishar, Dalip Pathak, Michael Carlos"
2299,2015-10-05,Voylla,Fashion jewelry and accessories e-tailer,,Jaipur,Peepul Capital,Private Equity,123.75,Series B,Peepul Capital
2300,2015-10-05,IndiaLends,Online Consumer Lending platform,,New Delhi,"DSG consumer Partners, Paragon Partners",Private Equity,8.25,Pre-Series A Bridge round,"DSG consumer Partners, Paragon Partners"
2301,2015-10-05,Rock N Shop,Premium Apparel shopping portal,,New Delhi,High Networth Individuals (undisclosed),Seed Funding,1.2375,,High Networth Individuals (undisclosed)
2302,2015-10-06,DocPlexus,Exclusive Platform for Doctors & Healthcare professionals,,Pune,"Uniqorn ventures, ASP Consulting",Seed Funding,5.775,,"Uniqorn ventures, ASP Consulting"
2303,2015-10-06,WorkIndia,Job Board,,Mumbai,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",Seed Funding,4.125,Pre-Series A,"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others"
2304,2015-10-06,SportzVillage,Sports Management & Physical Education Business,,Bangalore,Gaja Capital Private Equity Fund,Private Equity,82.5,Series B,Gaja Capital Private Equity Fund
2306,2015-10-06,Burger Singh,QSR & Online delivery portal,,Gurgaon,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",Seed Funding,4.125,Bridge Round,"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain"
2307,2015-10-06,Welcome Cure,Online Homeopathy Clinic,,Mumbai,Unnamed Media house and HNIs,Private Equity,49.5,Pre-Series A,Unnamed Media house and HNIs
2308,2015-10-07,SchoolGuru,E-Learning Service Provider,,Mumbai,High Networth Individuals from India & USA,Private Equity,24.75,Series A,High Networth Individuals from India & USA
2310,2015-10-07,GoJavas,Delivery & Logistics Service provider,,Gurgaon,Snapdeal,Private Equity,165.0,Strategic Funding (Series C),Snapdeal
2313,2015-10-08,ZuperMeal,Home Cooked Food marketplace & Delivery,,Mumbai,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others",Private Equity,16.5,Series A,"Sanjeev Kapoor,\\xc2\\xa0 Ravi Saxena & Others"
2314,2015-10-08,Cube26,Gesture based Mobile Development,,New Delhi,"Tiger Global Management, Flipkart",Private Equity,63.525,Series A,"Tiger Global Management, Flipkart"
2316,2015-10-08,Grabhouse,Rental Accommodation Search platform,,Bangalore,Sequoia and Kalaari Capital.,Private Equity,82.5,Series B,Sequoia and Kalaari Capital.
2317,2015-10-08,Quifers,Logistics Tech Platform,,Mumbai,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",Seed Funding,2.5575,,"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group"
2318,2015-10-09,Stockroom.io,Developer Portfolio Showcase platform,,Hyderabad,Undisclosed Investors,Seed Funding,0.5775,,Undisclosed Investors
2320,2015-10-09,Cloud Lending,End-to-End Lending platform,,Bangalore / San Mateo,SF Capital Group,Private Equity,66.0,Series A,SF Capital Group
2321,2015-10-09,Inayo,on-demand healthcare marketplace,,Mumbai,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",Seed Funding,2.475,,"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others"
2323,2015-10-09,Kulzy,Advertising & Marketing Community Networking platform,,New Delhi,"Seedfund, Bedrock Ventures",Seed Funding,8.25,,"Seedfund, Bedrock Ventures"
2324,2015-10-09,Zeppery,Food Ordering & Delivery App,,New Delhi,Suyash Sharma,Seed Funding,0.63525,,Suyash Sharma
2325,2015-10-12,Zify,Ride Sharing platform,,Hyderabad,Sean O\\xe2\\x80\\x99Sullivan & Others,Seed Funding,1.5675,,Sean O\\xe2\\x80\\x99Sullivan & Others
2328,2015-10-12,Gridle,Cloud Based Collaboration platform,,Ahmedabad,LetsVenture,Seed Funding,0.825,,LetsVenture
2331,2015-10-13,Voodoo,Mobile Only Shopping Assistant,,New Delhi,SAIF Partners,Seed Funding,8.25,,SAIF Partners
2332,2015-10-13,Lookup,Mobile Messaging Assistant App,,Bangalore,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund",Private Equity,20.625,Series A,"Khosla Impact, Biz Stone, Catamaran Ventures, Global Founders Capital, European investment fund"
2333,2015-10-14,AskMyGift,Personalized Wish List creator app,,Noida,Turning Ideas,Seed Funding,0.4125,,Turning Ideas
2335,2015-10-14,Zappfresh,Raw Meat & Ready to eat food etailer,,Gurgaon,Undisclosed Investors,Seed Funding,0.63525,,Undisclosed Investors
2341,2015-10-17,S-Cube Futuretech,Structural & Civil Engg Service Automation,,Mumbai,Parampara Capital,Private Equity,8.25,Series A,Parampara Capital
2343,2015-10-19,Citrus Payment,Payments Solution platform,,Mumbai,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia",Private Equity,206.25,Series C,"Sequoia Capital, Ascent Capital, eContext Asia, Beenos Asia"
2344,2015-10-19,Holidify,Travel Destination Discovery platform,,New Delhi,Aarti Group,Seed Funding,0.825,,Aarti Group
2346,2015-10-20,Opinio,Last Mile Delivery Service,,Bangalore,"Delhivery, Sands Capital and Accel Partners",Private Equity,57.75,Series A,"Delhivery, Sands Capital and Accel Partners"
2347,2015-10-20,Attune Technologies,Healthcare IT Solutions & services,,Chennai,"Qualcomm Venture, Norwest Venture Partners",Private Equity,82.5,Series B,"Qualcomm Venture, Norwest Venture Partners"
